name,url,rating,difficulty,language,tema,subtema
практики управленческой аналитики в ms excel,https://coursera.org/learn/praktiki-upravlencheskoy-analitiki-excel,4.8,intermediate level,ru,business, business essentials
introducción al mundo de las negociaciones,https://coursera.org/learn/estrategias-de-negociacion,4.8,none,es,business, business essentials
desenvolvimento ágil com padrões de projeto,https://coursera.org/learn/desenvolvimento-agil-com-padroes-de-projeto,4.7,intermediate level,pt,computer science, software development
capstone: your leadership challenge,https://coursera.org/learn/leadership-challenge,4.5,none,en,business, leadership and management
learning chinese : start from scratch (零到一學中文),https://coursera.org/learn/learn-chinese-mandarin,4.5,beginner level,en,language learning, other languages
foundations of teaching for learning: planning for teaching and learning,https://coursera.org/learn/teaching-plan,4.8,none,en,social sciences, education
"the modern world, part one: global history from 1760 to 1910",https://coursera.org/learn/modern-world,4.8,beginner level,en,arts and humanities, history
effective problem-solving and decision-making,https://coursera.org/learn/problem-solving,4.3,none,en,business, business essentials
health for all through primary health care,https://coursera.org/learn/health-for-all,4.7,none,en,health, patient care
обобщенные линейные модели,https://coursera.org/learn/obobshchennye-linejnye-modeli,4.7,intermediate level,ru,data science, probability and statistics
introduction to complex analysis,https://coursera.org/learn/complex-analysis,4.8,intermediate level,en,math and logic, math and logic
organizational design and management,https://coursera.org/learn/organizational-design-management,4.7,beginner level,en,business, business strategy
internet of things: communication technologies,https://coursera.org/learn/internet-of-things-communication,4.5,none,en,computer science, computer security and networks
global environmental management,https://coursera.org/learn/global-environmental-management,4.6,intermediate level,ca,physical science and engineering, environmental science and sustainability
k-12 blended & online learning,https://coursera.org/learn/k-12-online-education,4.7,none,en,social sciences, education
inglés empresarial: gestión y liderazgo,https://coursera.org/learn/ingles-empresarial-gestion-liderazgo,4.7,none,es,language learning, learning english
خيارات لسانية لمحترفي الإعلام باللغة العربية,https://coursera.org/learn/arabic-for-media,4.9,beginner level,ar,language learning, learning english
introduction to deep learning,https://coursera.org/learn/intro-to-deep-learning,4.6,advanced level,en,data science, machine learning
creative writing: the craft of style,https://coursera.org/learn/craft-of-style,4.7,none,en,arts and humanities, music and art
брендинг в инновациях - новая коммуникационная реальность,https://coursera.org/learn/brending-v-innovaciyah,5,none,ru,business, marketing
recommender systems:  evaluation and metrics,https://coursera.org/learn/recommender-metrics,4.3,none,en,data science, machine learning
giving 2.0: the mooc,https://coursera.org/learn/philanthropist,4.6,none,en,business, business strategy
lesson | business english skills: introducing yourself in business settings,https://coursera.org/learn/lesson-business-english-skills-introducing-yourself-in-business-settings,4.7,intermediate level,en,language learning, learning english
survey analysis to gain marketing insights,https://coursera.org/learn/survey-analysis-marketing-insights,4.4,none,en,business, marketing
construction project management,https://coursera.org/learn/construction-project-management,4.8,beginner level,en,business, business strategy
ignite your everyday creativity,https://coursera.org/learn/ignite-creativity,4.4,none,en,personal development, personal development
logic for economists,https://coursera.org/learn/logic-for-economists,4.4,advanced level,en,math and logic, math and logic
"introduction to the nonprofit sector, nonprofit organizations, nonprofit leadership and governance",https://coursera.org/learn/nonprofit-organizations,4.4,none,en,business, leadership and management
negocios internacionales i,https://coursera.org/learn/negocios-internacionales,4.7,none,es,business, business strategy
физика в опытах. часть 3. колебания и молекулярная физика,https://coursera.org/learn/molekulyarnaya-fizika,4.8,none,ru,physical science and engineering, physics and astronomy
mathematical biostatistics boot camp 1,https://coursera.org/learn/biostatistics,4.5,none,en,math and logic, math and logic
introduction to research for essay writing,https://coursera.org/learn/introduction-to-research-for-essay-writing,4.7,none,en,arts and humanities, music and art
intelligence tools for the digital age,https://coursera.org/learn/intelligence-tools-digital-age,4.6,beginner level,en,business, leadership and management
tinkering fundamentals: circuits,https://coursera.org/learn/tinkering-circuits,4.7,beginner level,de,personal development, personal development
marketing internacional en asia,https://coursera.org/learn/marketing-internacional-asia,4.8,beginner level,en,business, marketing
foundations of public health practice: behaviour & behaviour change,https://coursera.org/learn/behaviour-change-in-public-health,4.7,advanced level,en,health, public health
"designing, running, and analyzing experiments",https://coursera.org/learn/designexperiments,3.7,intermediate level,en,computer science, design and product
контекстная реклама. google adwords,https://coursera.org/learn/kontextnaya-reklama-google-adwords,4.6,intermediate level,ru,business, marketing
valuation for startups using multiple approach,https://coursera.org/learn/valuation-multiples,4.2,beginner level,en,business, finance
gestion et politique de leau,https://coursera.org/learn/gestion-eau,4.6,none,fr,social sciences, law
"бизнес-процессы, организационное проектирование, механизмы и системы управления",https://coursera.org/learn/systems-engineering-4,4.3,intermediate level,ru,business, leadership and management
administração financeira,https://coursera.org/learn/administracao-financeira,4.8,beginner level,pt,business, finance
"global postharvest loss prevention: fundamentals, technologies, and actors",https://coursera.org/learn/postharvest,4.8,beginner level,en,physical science and engineering, environmental science and sustainability
blockchain platforms,https://coursera.org/learn/blockchain-platforms,4.6,intermediate level,en,computer science, software development
invitation to mathematics     הזמנה למתמטיקה,https://coursera.org/learn/introduction-to-math,4.5,none,he,math and logic, math and logic
человеческий фактор в разработке корпоративных систем,https://coursera.org/learn/chelovecheskiy-faktor-razrabotke-korporativnykh-sistem,4.7,none,ru,business, leadership and management
креативная коммуникация: методы и инструменты,https://coursera.org/learn/kreativnaya-kommunikatsiya,4.7,advanced level,ru,arts and humanities, music and art
creating new bigquery datasets and visualizing insights,https://coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights,4.6,beginner level,en,information technology, data management
mindware: critical thinking for the information age,https://coursera.org/learn/mindware,4.7,beginner level,en,health, psychology
"healthy practices: nutrition, physical activity, and community and family participation",https://coursera.org/learn/healthy-practices-nutrition-physical-activity-community-family-participation,4.9,beginner level,en,health, nutrition
"android app components - services, local ipc, and content providers",https://coursera.org/learn/androidapps-2,4.3,beginner level,en,computer science, mobile and web development
big data: visualización de datos,https://coursera.org/learn/big-data-visualizacion-datos,4.6,intermediate level,es,data science, data analysis
strategic career self-management,https://coursera.org/learn/strategic-career-self-management,4.4,none,en,personal development, personal development
web connectivity and security in embedded systems,https://coursera.org/learn/iot-connectivity-security,4.6,intermediate level,en,computer science, computer security and networks
introduction to spreadsheets and models,https://coursera.org/learn/wharton-introduction-spreadsheets-models,4.2,none,en,business, business essentials
powerful tools for teaching and learning: web 2.0 tools,https://coursera.org/learn/teaching-learning-tools,4.6,beginner level,en,social sciences, education
social media data analytics,https://coursera.org/learn/social-media-data-analytics,4.1,intermediate level,ca,data science, data analysis
advanced portfolio construction and analysis with python,https://coursera.org/learn/advanced-portfolio-construction-python,4.8,intermediate level,en,business, finance
marketing analytics,https://coursera.org/learn/uva-darden-market-analytics,4.6,beginner level,en,business, marketing
creativity toolkit i: changing perspectives,https://coursera.org/learn/creativity-toolkit-1,4.7,none,en,business, entrepreneurship
the importance and power of music in our society,https://coursera.org/learn/importance-power-music-our-society,4.6,beginner level,en,arts and humanities, music and art
international security management,https://coursera.org/learn/international-security-management,4.7,beginner level,en,social sciences, governance and society
international law in action: investigating and prosecuting international crimes,https://coursera.org/learn/international-law-in-action-2,4.8,none,en,social sciences, law
decision-making and scenarios,https://coursera.org/learn/wharton-decision-making-scenarios,4.6,none,en,business, business essentials
fundamentals of visualization with tableau,https://coursera.org/learn/data-visualization-tableau,4.5,beginner level,en,data science, data analysis
data mining project,https://coursera.org/learn/data-mining-project,4.6,none,id,data science, data analysis
diode - pn junction and metal semiconductor contact,https://coursera.org/learn/diode-pn-junction-metal-semiconductor-contact,4.1,advanced level,en,physical science and engineering, electrical engineering
managerial economics and business analysis capstone,https://coursera.org/learn/managerial-economics-capstone,4.6,beginner level,en,business, business essentials
a life of happiness and fulfillment,https://coursera.org/learn/happiness,4.8,none,en,health, psychology
machine learning with python,https://coursera.org/learn/machine-learning-with-python,4.7,intermediate level,en,data science, machine learning
"the music of the rolling stones, 1962-1974",https://coursera.org/learn/rolling-stones,4.8,none,en,arts and humanities, music and art
"innovation through design: think, make, break, repeat",https://coursera.org/learn/innovation-through-design,4.8,beginner level,en,business, entrepreneurship
improving communication skills,https://coursera.org/learn/wharton-communication-skills,4.6,beginner level,en,personal development, personal development
creatividad computacional,https://coursera.org/learn/creatividad-computacional,4.7,intermediate level,es,computer science, algorithms
communicating data science results,https://coursera.org/learn/data-results,3.6,none,en,data science, data analysis
design thinking,https://coursera.org/learn/design-thinking-innovation,4.6,beginner level,en,business, entrepreneurship
modern american poetry,https://coursera.org/learn/modern-american-poetry,4.5,beginner level,en,arts and humanities, music and art
more chinese for beginners,https://coursera.org/learn/more-chinese-for-beginners,4.7,none,no,language learning, other languages
aspectos básicos de la planificación y la gestión de proyectos,https://coursera.org/learn/uva-darden-project-management-es,4.9,beginner level,es,business, business essentials
the modern and the postmodern (part 2),https://coursera.org/learn/modern-postmodern-2,4.7,none,en,arts and humanities, history
marketing gerencial,https://coursera.org/learn/marketing-gerencial,4.8,intermediate level,en,business, finance
основы микроэкономики (microeconomics principles),https://coursera.org/learn/mikroekonomika,4.5,beginner level,ru,social sciences, economics
leading transformations: manage change,https://coursera.org/learn/change-management,4.5,beginner level,en,business, leadership and management
cómo autoconstruir tu vivienda. segunda etapa,https://coursera.org/learn/como-autoconstruir-tu-vivienda-segunda-etapa,4.8,beginner level,pt,physical science and engineering, electrical engineering
растровая графика. adobe photoshop cc,https://coursera.org/learn/rastrovaya-grafika-adobe-photoshop,4.6,beginner level,bg,computer science, design and product
entrepreneurship strategy: from ideation to exit,https://coursera.org/learn/entrepreneurship-strategy,4.8,beginner level,en,business, leadership and management
conflict resolution skills,https://coursera.org/learn/conflict-resolution-skills,4.3,none,en,business, business essentials
serious gaming,https://coursera.org/learn/serious-gaming,4.5,none,en,social sciences, education
введение в системное проектирование,https://coursera.org/learn/systems-engineering-2,4.4,beginner level,ru,physical science and engineering, research methods
advanced deployment scenarios with tensorflow,https://coursera.org/learn/advanced-deployment-scenarios-tensorflow,4.7,intermediate level,en,computer science, software development
the science of success: what researchers know that you should know,https://coursera.org/learn/success,4.8,beginner level,en,business, leadership and management
build a modern computer from first principles: from nand to tetris (project-centered course),https://coursera.org/learn/build-a-computer,4.9,none,en,computer science, algorithms
toledo: deciphering secrets of medieval spain,https://coursera.org/learn/toledo-deciphering-secrets-medieval-spain,4.6,intermediate level,en,arts and humanities, history
introduction to data analytics for business,https://coursera.org/learn/data-analytics-business,4.7,none,en,data science, data analysis
getting your film off the ground,https://coursera.org/learn/film-off-ground,4.4,beginner level,en,arts and humanities, music and art
hot topics in criminal justice,https://coursera.org/learn/hot-topics-criminal-justice,4.9,beginner level,en,social sciences, law
"learning, knowledge, and human development ",https://coursera.org/learn/learning-knowledge-human-development,4,beginner level,en,social sciences, education
front-end web ui frameworks and tools: bootstrap 4,https://coursera.org/learn/bootstrap-4,4.8,intermediate level,af,computer science, mobile and web development
introducción a la producción musical,https://coursera.org/learn/intro-produccion-musical,4.9,intermediate level,es,arts and humanities, music and art
elastic cloud infrastructure: containers and services dalam bahasa indonesia,https://coursera.org/learn/gcp-infrastructure-containers-services-id,4.9,intermediate level,en,information technology, cloud computing
financial analysis for startups,https://coursera.org/learn/financial-ratios,4.4,beginner level,en,business, finance
arts and heritage management,https://coursera.org/learn/arts-heritage,4.8,none,de,business, marketing
fundamentals of quantitative modeling,https://coursera.org/learn/wharton-quantitative-modeling,4.6,none,en,business, business essentials
using clinical health data for better healthcare,https://coursera.org/learn/healthcare-data,4.6,beginner level,en,health, health informatics
enterprise architecture,https://coursera.org/learn/enterprise-architecture,4.7,beginner level,en,business, business essentials
teach english now! capstone project 2,https://coursera.org/learn/teaching-english-capstone-2,4.9,beginner level,en,language learning, learning english
"introduction to cad, cam, and practical cnc machining",https://coursera.org/learn/introduction-cad-cam-practical-cnc-machining,4.9,advanced level,en,physical science and engineering, mechanical engineering
психология коммуникации,https://coursera.org/learn/psikhologiya-kommunikacii,4.6,beginner level,ru,social sciences, governance and society
inferential and predictive statistics for business,https://coursera.org/learn/business-statistics,4.8,none,en,business, business essentials
summary statistics in public health,https://coursera.org/learn/summary-statistics,4.8,beginner level,en,health, public health
unordered data structures,https://coursera.org/learn/cs-fundamentals-3,4.8,none,en,computer science, software development
what is social?,https://coursera.org/learn/what-is-social,4.6,none,en,business, marketing
"итоговый проект специализации ""финансовые инструменты для частного инвестора""",https://coursera.org/learn/financial-instruments-capstone,4.5,none,ru,business, finance
networking in gcp: hybrid connectivity and network management,https://coursera.org/learn/networking-gcp-hybrid-connectivity-network-management,4.8,intermediate level,en,information technology, networking
"managerial accounting: cost behaviors, systems, and analysis",https://coursera.org/learn/accounting-for-managers,4.7,none,en,business, finance
introduction to english common law,https://coursera.org/learn/intro-common-law,4.8,beginner level,en,social sciences, law
professional responsibility and ethics for accountants,https://coursera.org/learn/ethics,4.7,none,en,business, leadership and management
sustainable business enterprises,https://coursera.org/learn/sustainable-business-enterprises,4.4,none,fr,business, business strategy
composição: escrevendo a letra,https://coursera.org/learn/composicao-escrevendo-letra,4.9,beginner level,pt,arts and humanities, music and art
gestión estratégica de escuelas en contextos rurales,https://coursera.org/learn/gestion-estrategica-escuelas-rurales,4.9,beginner level,es,social sciences, education
teaching impacts of technology: workplace of the future,https://coursera.org/learn/teach-impacts-technology-workplace-future,4.7,beginner level,en,social sciences, education
expanded fpga training with nios ii,https://coursera.org/learn/fpga-training-nios-ii,4.7,intermediate level,en,physical science and engineering, electrical engineering
"anatomy: cardiovascular, respiratory and urinary systems",https://coursera.org/learn/anatomy403-2x,4.8,beginner level,en,health, basic science
water supply and sanitation policy in developing countries part 2: developing effective interventions,https://coursera.org/learn/water-part-2,4.4,intermediate level,en,social sciences, governance and society
القيادة الدولية والسلوك التنظيمي,https://coursera.org/learn/organizational-behavior-ar,4.8,none,ar,business, leadership and management
"trabaja inteligentemente, no más duro: gestión del tiempo para la productividad personal y profesional ",https://coursera.org/learn/trabaja-inteligentemente,4.5,none,es,business, leadership and management
application systems programming,https://coursera.org/learn/application-systems-programming,4.5,intermediate level,en,computer science, software development
strategies for winning. meteorology in a round the world regatta,https://coursera.org/learn/meteorology,4.5,none,en,physical science and engineering, physics and astronomy
estadística y probabilidad,https://coursera.org/learn/estadistica-probabilidad,4.7,beginner level,es,math and logic, math and logic
универсальные практики влияния,https://coursera.org/learn/praktiki-vliyaniya,4.7,intermediate level,ru,business, leadership and management
advanced business analytics capstone,https://coursera.org/learn/data-analytics-business-capstone,4.4,none,en,data science, data analysis
camera control,https://coursera.org/learn/camera-control,4.8,none,pt,arts and humanities, music and art
introdução ao controle moderno,https://coursera.org/learn/controle-moderno,4.9,intermediate level,pt,physical science and engineering, electrical engineering
building a data science team,https://coursera.org/learn/build-data-science-team,4.5,none,en,data science, data analysis
software design as an abstraction,https://coursera.org/learn/software-design-abstraction,4.8,intermediate level,en,computer science, software development
"hi-five: health informatics for innovation, value & enrichment (social/peer perspective)",https://coursera.org/learn/hi-five-social-peer,4.6,beginner level,en,health, health informatics
design thinking for the greater good: innovation in the social sector,https://coursera.org/learn/uva-darden-design-thinking-social-sector,4.5,beginner level,en,social sciences, education
multiple regression analysis in public health,https://coursera.org/learn/multiple-regression-analysis-public-health,4.7,beginner level,en,health, health informatics
become a cbrs certified professional installer by google,https://coursera.org/learn/google-cbrs-cpi-training,4.9,none,en,information technology, networking
business intelligence and data warehousing,https://coursera.org/learn/business-intelligence-data-warehousing,4.4,intermediate level,en,data science, data analysis
supply chain finance market and fintech ecosystem,https://coursera.org/learn/supply-chain-finance-market-fintech-ecosystem,4.5,intermediate level,en,business, finance
studying at japanese universities,https://coursera.org/learn/study-in-japan,4.8,beginner level,en,personal development, personal development
blended learning: personalizing education for students,https://coursera.org/learn/blending-learning-personalization,4.7,none,en,social sciences, education
"the effect of fires on people, property and the environment",https://coursera.org/learn/fire-effect,4.6,none,en,physical science and engineering, environmental science and sustainability
applied data science capstone,https://coursera.org/learn/applied-data-science-capstone,4.7,intermediate level,en,data science, data analysis
originalité et modernité du mutualisme,https://coursera.org/learn/originalite-et-modernite-du-mutualisme,4.8,beginner level,fr,business, business essentials
the power of microeconomics: economic principles in the real world,https://coursera.org/learn/principles-of-microeconomics,4.6,none,en,social sciences, economics
controle usando a resposta em frequência,https://coursera.org/learn/resposta-frequencia,4.3,intermediate level,pt,physical science and engineering, electrical engineering
the science of health care delivery,https://coursera.org/learn/science-healthcare-delivery,4.6,beginner level,en,health, healthcare management
analizando las políticas económicas,https://coursera.org/learn/analizando-politicas-economicas,4.9,none,es,social sciences, economics
corporate financial decision-making for value creation,https://coursera.org/learn/value-creation,4.7,none,en,business, finance
launching into machine learning 日本語版,https://coursera.org/learn/launching-machine-learning-jp,4.4,intermediate level,en,data science, machine learning
trading algorithms,https://coursera.org/learn/trading-algorithm,4.6,intermediate level,en,business, finance
just reading and writing english 2,https://coursera.org/learn/just-reading-and-writing-english-2,4.7,intermediate level,en,language learning, learning english
fundamentos de android,https://coursera.org/learn/fundamentos,4.7,none,pt,computer science, mobile and web development
code free data science,https://coursera.org/learn/code-free-data-science,4.3,beginner level,en,data science, machine learning
the r programming environment,https://coursera.org/learn/r-programming-environment,4.4,intermediate level,en,data science, data analysis
audio digital con pure data,https://coursera.org/learn/audio-digital-pure-data,4.7,intermediate level,it,arts and humanities, music and art
mechanics of materials iii: beam bending,https://coursera.org/learn/beam-bending,4.9,intermediate level,en,physical science and engineering, mechanical engineering
financial engineering and risk management part ii,https://coursera.org/learn/financial-engineering-2,4.7,none,en,business, finance
introduction à la théorie de galois,https://coursera.org/learn/theorie-de-galois,4.8,none,fr,math and logic, math and logic
autodesk certified professional: autocad for design and drafting exam prep,https://coursera.org/learn/autodesk-autocad-design-drafting,4.8,advanced level,en,physical science and engineering, mechanical engineering
web application development with javascript and mongodb,https://coursera.org/learn/web-application-development,4.6,none,en,computer science, software development
formal financial accounting,https://coursera.org/learn/formal-financial-accounting,4.6,intermediate level,en,business, business essentials
how to write a resume (project-centered course),https://coursera.org/learn/how-to-write-a-resume,4.4,none,en,personal development, personal development
fundamentals of parallelism on intel architecture,https://coursera.org/learn/parallelism-ia,4.6,intermediate level,en,computer science, software development
design your own trading strategy – culminating project,https://coursera.org/learn/design-trading-strategy-culminating-project,4.5,intermediate level,en,business, finance
predictive analytics and data mining,https://coursera.org/learn/predictive-analytics-data-mining,4.2,intermediate level,en,business, leadership and management
the economics of health care delivery,https://coursera.org/learn/health-economics-us-healthcare-systems,4.8,none,en,health, healthcare management
intro to international marketing,https://coursera.org/learn/intro-international-marketing,4.7,none,en,business, marketing
physique des particules - une introduction,https://coursera.org/learn/physique-particules,4.3,intermediate level,fr,physical science and engineering, physics and astronomy
python programming essentials,https://coursera.org/learn/python-programming,4.8,beginner level,en,computer science, software development
the blockchain system,https://coursera.org/learn/blockchain-system,4.7,beginner level,en,computer science, algorithms
юридическое оформление инвестиционных идей,https://coursera.org/learn/law-invest-ideas,4.6,none,ru,social sciences, law
patrick henry: forgotten founder,https://coursera.org/learn/henry,4.9,beginner level,de,arts and humanities, history
build a modern computer from first principles: nand to tetris part ii (project-centered course),https://coursera.org/learn/nand2tetris2,5,none,en,computer science, software development
doğrusal cebir i: uzaylar ve i̇şlemciler / linear algebra i: spaces and operators,https://coursera.org/learn/linearalgebra1,3.8,none,tr,math and logic, math and logic
hacer negocios con multinacionales y empresas en américa latina,https://coursera.org/learn/negocios-multinacionales-america-latina,5,beginner level,es,business, business strategy
social psychology,https://coursera.org/learn/social-psychology,4.9,beginner level,en,health, psychology
elastic cloud infrastructure: scaling and automation auf deutsch,https://coursera.org/learn/gcp-infrastructure-scaling-automation-de,4.7,intermediate level,en,information technology, cloud computing
compreendendo o zika e doenças emergentes,https://coursera.org/learn/zika-e-doencas-emergentes,5,intermediate level,pt,health, public health
six sigma tools for improve and control,https://coursera.org/learn/six-sigma-improve-control,4.7,beginner level,en,business, business essentials
